gocator_ID,gc_decision,gc_offset_x,gc_offset_y,gc_offset_z,gc_outer_radius,gc_depth,dc_bevel_radius,gc_bevel_angle,gc_xangle,gc_yangle,gc_cb_depth,gc_axis_tilt,gc_axis_orient,gh_decision,gh_offset_x,gh_offset_y,gh_offset_x,gh_radius
,in,in,in,in,in,in,deg,deg,deg,in,deg,deg,,in,in,in,in
203,0,-0.0016,0.0007,-0.0003,0.3015,4.8,2.8,88.5,2.0,-0.2,0.0000,1.3,-95.0,0,0.0001,0.0099,-0.0091,0.1680
204,0,-0.0022,0.1267,-0.0014,0.3106,4.4,2.3,95.9,0.3,-0.2,0.0000,0.4,143.9,0,0.1218,-0.0868,-0.0122,0.0701
204,0,0.0028,-0.0029,-0.0012,0.3102,4.4,2.3,96.0,0.2,-0.2,0.0000,1.5,-12.4,0,0.1427,0.2006,-0.0111,0.0600
205,0,0.0013,0.0248,-0.0354,0.3099,4.3,2.2,96.9,2.0,-0.2,0.0000,2.2,-179.0,0,0.2203,0.0355,-0.0462,0.0580
205,0,0.0022,0.0001,-0.0007,0.3086,4.4,2.3,95.8,2.0,-0.2,0.0000,1.9,-178.0,0,0.0075,0.0102,-0.0093,0.1682
206,0,0.0052,0.1244,0.0050,0.3072,4.5,2.5,93.3,0.3,0.0,0.0000,1.1,106.4,0,-0.1162,-0.0972,-0.0067,0.0580
206,0,0.0003,-0.0023,0.0013,0.3084,4.5,2.4,94.7,0.2,0.0,0.0000,1.2,95.8,0,0.0043,-0.0054,-0.0084,0.1678
207,0,0.0125,0.0218,-0.0313,0.3030,4.6,2.6,91.1,2.0,0.0,0.0000,1.1,-81.5,0,0.1107,-0.1697,-0.0477,0.0861
207,0,0.0000,-0.0017,0.0010,0.3030,4.6,2.6,91.1,2.0,0.0,0.0000,1.4,-88.6,0,-0.0019,0.0098,-0.0071,0.1661
300,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,-0.0057,-0.0338,-0.1083,0.1233
300,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.0012,-0.0013,0.0001,0.1233
301,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,-0.0070,-0.0353,-0.1029,0.1244
301,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,-0.0023,-0.0010,0.0009,0.1228
302,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,-0.0069,-0.0372,-0.1059,0.1236
302,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.0009,0.0009,-0.0006,0.1232
303,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.0020,-0.0375,-0.1039,0.1261
303,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.0022,-0.0007,-0.0006,0.1257
