time_stamp,tag_name,gc_decision,gc_offset_x,gc_offset_y,gc_offset_z,gc_outer_radius,gc_depth,gc_bevel_radius,gc_bevel_angle,gc_xangle,gc_yangle,gc_cb_depth,gc_axis_tilt,gc_axis_orient,gh_decision,gh_offset_x,gh_offset_y,gh_offset_z,gh_radius,gp_xangle,gp_yangle,gp_z_offset,gp_std_dev
2022-11-11T11:33:30.694000,111_adjust_1,0,-0.0003,-0.0002,0.0004,0.2633,0.1226,0.0302,99.62,0.00,-0.00,0.0000,0.80,60.98,0,-0.0011,-0.0040,-0.0081,0.1354,-0.01,-0.00,-0.0095,0.0200
2022-11-11T11:33:37.357000,112_initial,0,0.0573,-0.0243,-0.0276,0.1949,0.0652,-0.0370,99.37,-0.17,-0.02,0.0000,4.58,92.90,0,0.0565,-0.0310,-0.0323,0.1221,-0.15,-0.06,-0.0331,0.0095
2022-11-11T11:33:42.831000,112_adjust_3-1,0,0.0004,0.0009,0.0004,0.1952,0.0649,-0.0386,99.81,0.00,0.01,0.0000,4.82,92.69,0,-0.0008,-0.0072,-0.0044,0.1224,0.00,0.01,-0.0052,0.0093
2022-11-11T11:33:48.193000,112_adjust_1-2,0,-0.0004,-0.0003,0.0001,0.1948,0.0653,-0.0364,99.18,0.00,0.00,0.0000,4.90,95.26,0,-0.0014,-0.0089,-0.0047,0.1228,0.00,0.00,-0.0054,0.0095
2022-11-11T11:33:52.491000,112_adjust_1,0,0.0003,-0.0002,-0.0001,0.1949,0.0651,-0.0373,99.42,0.00,0.00,0.0000,4.74,94.85,0,-0.0008,-0.0085,-0.0049,0.1228,0.01,0.00,-0.0056,0.0097
2022-11-11T11:33:58.312000,113_initial,0,0.0508,0.0292,-0.0309,0.1950,0.0660,-0.0344,98.73,-0.15,-0.06,0.0000,5.32,92.41,0,0.0507,0.0231,-0.0356,0.1209,-0.17,-0.09,-0.0361,0.0106
2022-11-11T11:34:03.814000,113_adjust_3-1,0,0.0013,-0.0002,-0.0013,0.1950,0.0656,-0.0356,99.03,0.01,0.01,0.0000,5.17,93.10,0,0.0019,-0.0061,-0.0060,0.1212,0.01,0.01,-0.0067,0.0106
2022-11-11T11:34:09.075000,113_adjust_1-2,0,0.0001,-0.0003,0.0002,0.1950,0.0656,-0.0357,99.05,-0.00,0.00,0.0000,5.04,89.58,0,0.0002,-0.0057,-0.0045,0.1210,-0.00,0.00,-0.0052,0.0107
2022-11-11T11:34:13.321000,113_adjust_1,0,0.0008,0.0002,-0.0004,0.1952,0.0654,-0.0369,99.42,0.00,0.00,0.0000,5.06,84.59,0,0.0002,-0.0058,-0.0051,0.1214,0.00,0.00,-0.0058,0.0106
2022-11-11T11:34:19.044000,114_initial,0,0.0484,0.0780,-0.0366,0.2639,0.1240,0.0324,99.23,-0.03,-0.07,0.0000,0.20,-78.29,0,0.0470,0.0827,-0.0443,0.1400,-0.26,-0.20,-0.0457,0.0202
